sigma,alpha,cost,term_reward,n_revealed
75,10.000000000000009,4,15.332148936170235,2.0797872340425534
150,1.0000000000000004,1,62.30691489361707,4.715957446808511
75,1.0000000000000004,0,45.307072916666705,11.03125
75,0.31622776601683805,1,42.46140625000007,5.198958333333334
150,3.1622776601683813,0,76.96425000000004,12.1
150,0.10000000000000002,8,101.61406122448945,3.6683673469387754
150,1.0000000000000004,8,54.64941489361705,3.1882978723404256
150,10.000000000000009,8,36.549510638297896,2.723404255319149
150,3.1622776601683813,1,59.483750000000065,5.327083333333333
75,0.31622776601683805,8,32.66816666666666,2.560416666666667
150,0.10000000000000002,1,109.27636170212755,4.627659574468085
75,0.10000000000000002,1,57.89486734693868,4.844897959183673
75,3.1622776601683813,4,20.694418367346927,2.263265306122449
150,1.0000000000000004,4,53.39429787234043,3.3308510638297872
75,0.10000000000000002,8,38.82265217391308,2.377173913043478
150,3.1622776601683813,2,55.950770833333394,4.894791666666666
75,3.1622776601683813,1,25.366989130434785,4.126086956521739
150,0.31622776601683805,1,96.16938541666687,5.510416666666667
75,1.0000000000000004,4,29.03306521739133,2.996739130434783
75,10.000000000000009,0,37.47726086956524,14.695652173913043
75,0.31622776601683805,2,40.10696666666663,3.827777777777778
75,1.0000000000000004,1,37.29594565217391,5.086956521739131
75,3.1622776601683813,0,37.68093478260868,10.539130434782608
75,1.0000000000000004,2,31.930760416666672,4.001041666666667
75,10.000000000000009,8,12.628000000000002,1.6556818181818183
75,10.000000000000009,2,16.483906250000008,2.590625
75,10.000000000000009,1,24.358099999999993,4.453333333333333
150,0.31622776601683805,8,70.66376595744687,2.902127659574468
150,1.0000000000000004,0,85.53423958333329,10.778125
150,10.000000000000009,0,73.32564893617024,13.306382978723404
150,10.000000000000009,2,43.16231632653067,4.447959183673469
150,0.10000000000000002,0,118.73268749999976,7.770833333333333
75,0.31622776601683805,4,35.90954081632652,3.225510204081633
150,1.0000000000000004,2,60.12230208333342,3.4916666666666667
150,3.1622776601683813,8,41.37340217391307,2.7184782608695652
150,0.31622776601683805,4,81.52091666666666,3.671875
75,3.1622776601683813,2,23.88167708333333,3.4270833333333335
75,1.0000000000000004,8,23.871141304347805,2.235869565217391
75,0.10000000000000002,4,46.68452083333331,3.4739583333333335
150,10.000000000000009,4,41.3188125,3.857291666666667
75,0.10000000000000002,0,57.126957446808476,9.492553191489362
150,0.31622776601683805,2,92.1930510204083,4.625510204081633
150,0.10000000000000002,2,103.45001111111098,4.278888888888889
150,10.000000000000009,1,52.9825416666667,5.290625
75,0.31622776601683805,0,52.42666666666669,10.31875
150,0.10000000000000002,4,94.16038541666646,3.6197916666666665
150,0.31622776601683805,0,105.0874361702127,11.192553191489361
150,3.1622776601683813,4,54.25671874999999,4.053125
75,3.1622776601683813,8,16.328989795918385,1.9744897959183674
75,0.10000000000000002,2,48.361208333333266,3.558333333333333
